SL.NO.,DEALER NAME,FULL ADDRESS,AREA,CITY,STATE,PIN CODE,STORE TYPE,PHONE-1,PHONE-2,MOBILE
1,NANKANI JUTE HOUSE           ,"GOVINDPURI, DEVPURA, RANIPUR MORE, ",HARIDWAR,HARIDWAR,UTTARKHAND,249403,DISTRIBUTOR,,,9897237646
2,PRABHAKAR FOAM,"2,TILAK ROAD,", RISHIKESH,RISHIKESH,UTTARKHAND,249201,DEALER,,,9897170009
3,SMVD MALHOTRA & CO,"1/41, SUBHASH ROAD","SUBHASH ROAD, ",DEHRADUN,UTTARKHAND,248001,DEALER,,,9319700462
4,SACH TRADERS,"SHOP NO-22, PALIKA MARKET 28 FEET ROAD ",PALIKA MARKET,DEHRADUN,UTTARKHAND,248198,DEALER,,,8279772927
5,VIRENDRA & CO FLOORCO,7D ASTLEY HALL UGARSAIN ROAD ,UGARSAIN ROAD ,DEHRADUN,UTTARKHAND,248001,DEALER,,,9105559001
6,HARYANA HANDLOOM CENTRE,"54, CHAKRATA ROAD ",CHAKRATA ROAD ,DEHRADUN,UTTARKHAND,248001,DEALER,,,9769553827
7,KWALITY MART PRIVATE LIMITED ,"12, GANDHI ROAD ",GANDHI ROAD ,DEHRADUN,UTTARKHAND,248001,DEALER,,,9358101490
8,VIRENDRA & CO,"29-A, RAJPUR ROAD , ",RAJPUR ROAD,DEHRADUN,UTTARKHAND,248009,DEALER,,,9897015001
9,INTERNATIONAL ENTERPRISES,MOHINI TOWER NAINITAL ROAD,HALDWANI,HALDWANI,UTTARKHAND,263139,DEALER,,,9837478726
